Date,Rainfall,Tmax,Tmin,speed
20100101,9.75,26.5,20.7,2.33
20100102,7.17,24.7,20.3,1.46
20100103,2.89,28.9,20.1,1.58
20100104,4.96,25.7,21.8,5.67
20100105,0.00,28.8,21.8,7.38
20100106,4.41,27.4,21.5,4.79
20100107,3.42,28.6,21.1,3.58
20100108,0.00,27.9,21.3,2.54
20100109,0.00,27.4,21.6,1.92
20100110,0.00,30.4,21.4,1.38
20100111,0.00,28.7,22.3,2.58
20100112,0.33,29.2,22.2,2.58
20100113,1.64,27.6,22.7,4.29
20100114,0.26,28.6,22.1,5.79
20100115,0.00,29.0,20.6,5.5
20100116,0.00,28.9,20.5,5.54
20100117,0.00,29.4,20.8,5.46
20100118,0.00,30.1,22.3,4.25
20100119,2.90,30.5,21.3,8.38
20100120,1.37,29.3,21.6,6.79
20100121,4.94,29.2,21.7,4.96
20100122,3.87,28.3,21.4,4.67
20100123,1.11,28.7,21.1,0.67
20100124,1.12,29.3,21.0,2.96
20100125,5.14,29.3,20.6,1.67
20100126,0.00,29.9,21.4,2.79
20100127,0.96,30.2,20.7,4.54
20100128,0.00,31.2,20.9,4.38
20100129,0.56,31.9,22.3,2.67
20100130,0.03,31.4,22.8,3.96
20100131,0.00,31.9,23.0,8.08
20100201,3.88,31.6,22.5,3.25
20100202,0.28,31.8,23.6,3.46
20100203,3.02,30.6,23.5,2.13
20100204,0.08,25.3,20.7,2.92
20100205,1.08,28.4,21.8,2.63
20100206,0.32,26.6,21.5,1.38
20100207,10.85,28.1,21.6,4.83
20100208,0.88,28.5,21.2,5.88
20100209,0.75,29.2,21.9,6.63
20100210,0.09,31.0,21.2,5.67
20100211,0.00,30.1,21.0,4.88
20100212,0.02,31.1,21.7,6.17
20100213,0.05,31.4,23.2,7.38
20100214,0.17,30.2,22.7,4.5
20100215,0.00,29.4,22.8,7.17
20100216,5.12,23.7,23.1,6.25
20100217,0.00,28.0,21.3,5.13
20100218,12.43,29.3,22.1,4.17
20100219,0.04,30.5,22.3,7.58
20100220,0.58,27.2,23.9,6.33
20100221,7.41,28.3,22.7,3.17
20100222,14.85,26.7,22.7,4.58
20100223,0.72,28.5,22.9,6.13
20100224,4.57,27.8,22.2,4.38
20100225,7.25,29.3,22.1,6.5
20100226,6.58,24.2,20.7,0.79
20100227,0.38,28.7,21.9,3.25
20100228,7.18,28.2,22.9,2.67
20100301,18.72,26.7,21.8,1.25
20100302,0.00,26.5,21.7,3.25
20100303,0.00,29.7,23.2,7.29
20100304,0.00,28.4,23.1,4.5
20100305,3.46,29.0,23.4,3.33
20100306,6.23,28.7,23.6,1.08
20100307,8.16,28.8,21.3,1.5
20100308,0.16,26.9,22.7,4.67
20100309,2.79,28.7,22.8,3.79
20100310,2.40,29.9,23.4,2.42
20100311,0.00,30.2,23.4,1.38
20100312,0.00,30.6,24.3,3.33
20100313,0.72,31.1,23.8,5
20100314,0.00,30.6,23.3,5.79
20100315,0.00,30.7,23.6,7.08
20100316,1.57,30.6,23.5,8.38
20100317,1.30,29.9,23.6,4.33
20100318,0.00,30.5,23.9,3.75
20100319,14.22,28.7,23.1,3.38
20100320,0.26,28.2,22.5,1.46
20100321,0.00,28.6,22.9,1.58
20100322,16.14,29.2,23.6,0.75
20100323,15.83,27.7,23.1,3.71
20100324,0.36,23.9,21.5,2.17
20100325,1.59,28.1,21.5,2.92
20100326,0.15,25.8,22.8,1.04
20100327,13.84,27.8,22.4,1.17
20100328,0.12,26.5,22.0,1.96
20100329,12.24,27.6,21.6,1.33
20100330,14.12,27.1,22.6,1.58
20100331,0.00,28.9,21.8,1.92
20100401,4.08,29.5,20.3,6.42
20100402,11.20,28.4,20.5,9.42
20100403,0.78,28.0,21.5,3.54
20100404,6.44,29.6,22.3,4.96
20100405,3.48,29.4,23.0,6.25
20100406,0.00,29.9,21.7,8.08
20100407,0.89,29.8,22.3,6.21
20100408,5.95,30.2,22.6,5.42
20100409,1.56,29.6,23.2,4.21
20100410,0.00,30.2,22.0,5.29
20100411,0.95,30.9,21.9,5.71
20100412,2.73,30.6,22.1,5.92
20100413,8.02,30.8,22.5,6.71
20100414,16.72,29.8,20.8,2.92
20100415,0.75,29.2,21.4,6.17
