Date,Rainfall,Tmax,Tmin,speed
20100101,33.65,25.7,18.5,
20100102,13.14,23.7,18.2,
20100103,1.94,26.4,18.7,
20100104,3.97,25.3,20.0,
20100105,2.36,25.9,20.4,
20100106,6.36,24.4,20.1,
20100107,9.08,26.2,19.3,
20100108,1.59,25.9,20.6,
20100109,0.00,26.4,20.6,
20100110,0.00,27.4,20.7,
20100111,0.00,25.6,20.8,
20100112,0.31,26.4,20.7,
20100113,4.13,26.4,21.4,
20100114,0.49,26.9,21.1,
20100115,0.01,27.1,20.4,
20100116,0.00,27.0,19.7,
20100117,0.67,28.0,19.6,
20100118,0.00,27.8,20.8,
20100119,0.06,29.0,20.6,
20100120,2.26,27.2,20.6,
20100121,1.85,26.7,20.8,
20100122,10.25,26.4,20.8,
20100123,3.10,26.7,20.5,
20100124,1.38,27.8,20.6,
20100125,0.33,27.2,20.3,
20100126,0.00,28.7,20.9,
20100127,0.74,29.2,20.4,
20100128,0.00,30.1,20.2,
20100129,1.74,31.1,20.9,
20100130,0.31,29.6,22.3,
20100131,0.00,31.0,22.0,
20100201,5.47,31.0,21.9,
20100202,1.71,30.5,22.0,
20100203,3.43,30.4,21.6,
20100204,0.49,24.6,18.1,
20100205,1.00,26.8,20.7,
20100206,0.00,25.0,20.4,
20100207,12.23,26.6,20.6,
20100208,0.07,26.3,19.3,
20100209,0.05,27.1,20.5,
20100210,0.01,29.7,21.0,
20100211,0.00,27.7,20.6,
20100212,0.00,30.6,21.0,
20100213,0.01,31.1,22.0,
20100214,0.00,29.3,21.7,
20100215,0.22,28.9,22.0,
20100216,8.57,23.9,22.0,
20100217,0.00,25.5,19.5,
20100218,16.76,26.7,20.1,
20100219,0.23,28.6,20.1,
20100220,0.64,24.9,22.4,
20100221,4.42,26.7,21.3,
20100222,0.69,25.6,21.4,
20100223,1.19,26.2,21.0,
20100224,2.50,25.9,21.0,
20100225,16.76,27.4,20.5,
20100226,5.64,22.6,18.6,
20100227,2.97,27.2,20.8,
20100228,1.04,25.8,20.5,
20100301,5.56,24.9,20.2,
20100302,0.00,25.9,19.2,
20100303,0.00,27.7,21.4,
20100304,5.00,26.3,20.5,
20100305,0.91,26.6,20.4,
20100306,3.06,26.9,21.6,
20100307,6.56,27.1,19.5,
20100308,0.47,25.1,19.5,
20100309,2.35,27.3,20.4,
20100310,5.98,28.5,20.3,
20100311,0.16,28.4,21.6,
20100312,0.00,28.9,22.0,
20100313,1.77,29.8,21.8,
20100314,0.00,29.5,21.5,
20100315,0.08,29.5,21.9,
20100316,0.00,30.1,22.1,
20100317,0.13,28.2,21.9,
20100318,3.29,28.5,21.6,
20100319,10.50,26.2,21.9,
20100320,0.30,26.1,20.1,
20100321,0.00,28.4,20.2,
20100322,22.95,27.0,21.3,
20100323,19.04,27.1,21.3,
20100324,0.00,24.0,18.9,
20100325,1.41,26.5,20.0,
20100326,2.75,24.9,20.5,
20100327,21.36,26.9,21.0,
20100328,1.13,25.0,20.0,
20100329,21.41,26.6,19.6,
20100330,24.31,25.9,20.7,
20100331,2.52,25.7,20.2,
20100401,17.55,27.2,18.5,
20100402,0.58,26.9,18.8,
20100403,8.24,25.9,20.3,
20100404,0.61,27.1,21.3,
20100405,2.24,27.9,21.7,
20100406,0.02,28.0,20.7,
20100407,0.00,27.4,21.3,
20100408,0.00,28.9,21.4,
20100409,0.25,27.3,22.3,
20100410,0.00,28.1,21.5,
20100411,0.86,28.3,21.2,
20100412,2.26,28.6,21.2,
20100413,1.78,29.0,21.6,
20100414,15.53,28.1,19.7,
20100415,4.65,27.7,19.6,
20100416,0.46,25.2,19.6,
20100417,0.00,26.9,19.8,
20100418,5.60,28.0,20.6,
20100419,22.94,27.8,21.3,
20100420,0.87,28.1,18.7,
20100421,1.05,29.4,21.2,
20100422,5.50,27.6,20.4,
20100423,5.05,27.5,20.7,
20100424,11.28,27.1,19.1,
20100425,9.24,27.2,18.2,
20100426,15.54,29.0,20.5,
20100427,2.27,27.9,20.0,
20100428,5.72,27.9,20.6,
20100429,13.02,26.0,18.9,
20100430,11.22,25.8,18.7,
20100501,13.74,26.1,20.7,
20100502,13.85,26.2,20.2,
20100503,7.68,25.3,18.9,
20100504,7.34,26.1,20.5,
20100505,13.68,26.0,20.6,
20100506,14.24,26.3,20.6,
20100507,23.66,26.8,19.4,
20100508,8.82,27.3,20.8,
20100509,8.39,25.4,19.5,
20100510,1.80,25.0,20.1,
20100511,8.99,25.5,20.1,
20100512,1.05,26.6,19.7,
20100513,2.19,27.4,20.4,
20100514,4.90,26.8,21.1,
20100515,16.00,26.6,20.6,
20100516,1.66,26.0,19.4,
20100517,0.18,25.9,20.4,
20100518,8.88,26.5,19.6,
20100519,11.67,27.5,19.4,
20100520,0.01,26.9,20.0,
20100521,0.00,27.8,20.8,
20100522,3.79,27.8,20.4,
20100523,0.68,27.4,20.8,
20100524,7.09,26.7,20.3,
20100525,0.00,26.9,19.5,
20100526,0.01,27.3,20.6,
